id,gen_summary,sent,label,lexrank_rank,rouge1_rank,bertscore_rank,perplexity_rank,lexrank,rouge1,bertscore,perplexity
xsum__train__15555406__reference__0,The BBC Sport team brings you comprehensive analysis of the world's biggest sports events and stories:,Dan Roan is our sports editor and focuses on the major events and news stories.,2,4,3,0,6,1.0508478532205483,0.3125,0.8615775108337402,0.026765823364257812
xsum__train__15555406__reference__0,The BBC Sport team brings you comprehensive analysis of the world's biggest sports events and stories:,"Tom Fordyce is our chief sports writer who specialises in cricket, rugby, tennis and athletics. His strength is providing the background to major events and the extraordinary people who compete in them.",2,3,8,7,5,1.1291292701510987,0.20408163265306123,0.8369889259338379,0.062372446060180664
xsum__train__15555406__reference__0,The BBC Sport team brings you comprehensive analysis of the world's biggest sports events and stories:,"Richard Conway is BBC Radio 5 live's sports news correspondent, providing in-depth analysis and coverage across a wide range of sports.",2,0,1,3,2,1.4102969649009436,0.35,0.8558154702186584,0.17685627937316895
xsum__train__15555406__reference__0,The BBC Sport team brings you comprehensive analysis of the world's biggest sports events and stories:,"Andy Swiss is a sports new correspondent, he has covered the Olympics and Paralympics and writes regular features on disability sport.",2,2,7,10,7,1.1763228424825407,0.21052631578947367,0.8174538016319275,0.02188730239868164
xsum__train__15555406__reference__0,The BBC Sport team brings you comprehensive analysis of the world's biggest sports events and stories:,"Phil McNulty is our chief football writer, reporting on the biggest matches and breaking football stories.",2,11,6,2,4,0.759625896032166,0.24242424242424243,0.8568158745765686,0.06622910499572754
xsum__train__15555406__reference__0,The BBC Sport team brings you comprehensive analysis of the world's biggest sports events and stories:,"Dan Walker presents Football Focus but also covers many of the BBC's biggest sporting events, from Wimbledon and the Open to the Six Nations and the Grand National.",2,9,0,5,1,0.8706622281701722,0.391304347826087,0.8540863990783691,0.2869694232940674
xsum__train__15555406__reference__0,The BBC Sport team brings you comprehensive analysis of the world's biggest sports events and stories:,"Tim Vickery is our South American football expert, keeping tabs on the next generation of players who will soon be gracing La Liga, Serie A and the Premier League.",2,13,9,8,8,0.6944837433882074,0.17391304347826086,0.8273344039916992,0.002827167510986328
xsum__train__15555406__reference__0,The BBC Sport team brings you comprehensive analysis of the world's biggest sports events and stories:,"Andrew Benson has been covering Formula 1 for nearly 20 years, taking in more than 100 grands prix. His contacts within the sport make him the definitive source for all your F1 news.",2,12,12,11,11,0.7272759204895225,0.12000000000000001,0.8157619833946228,-0.07424688339233398
xsum__train__15555406__reference__0,The BBC Sport team brings you comprehensive analysis of the world's biggest sports events and stories:,Jonathan Agnew has been a regular on Test Match Special since 1991. The former Leicestershire and England bowler gives his opinion and analysis via his correspondent page.,2,8,11,13,13,1.0006334989685264,0.13636363636363638,0.8052026033401489,-0.1450212001800537
xsum__train__15555406__reference__0,The BBC Sport team brings you comprehensive analysis of the world's biggest sports events and stories:,"Iain Carter is 5 live's golf correspondent and brings you all the latest from the course, as well as the gossip from the 19th hole.",2,6,5,6,12,1.0384830307964468,0.2790697674418605,0.8397873044013977,-0.07982087135314941
xsum__train__15555406__reference__0,The BBC Sport team brings you comprehensive analysis of the world's biggest sports events and stories:,Russell Fuller is the BBC tennis correspondent and brings all the latest news and analysis from each of the four Grand Slams and the rest of the tour throughout the season.,2,1,4,4,3,1.2028347394173504,0.29166666666666663,0.8547431826591492,0.10115885734558105
xsum__train__15555406__reference__0,The BBC Sport team brings you comprehensive analysis of the world's biggest sports events and stories:,The Rugby Union index pulls together the latest blog offerings from the BBC Sport team and Tom Fordyce.,2,10,2,1,0,0.8673879000914779,0.34285714285714286,0.8577383756637573,0.808215856552124
xsum__train__15555406__reference__0,The BBC Sport team brings you comprehensive analysis of the world's biggest sports events and stories:,"George Riley presents 5 live Breakfast's sports bulletins, but on top of that he is our main man covering Rugby League.",2,7,10,9,10,1.0286335136110647,0.15384615384615383,0.8233002424240112,-0.048181772232055664
xsum__train__15555406__reference__0,The BBC Sport team brings you comprehensive analysis of the world's biggest sports events and stories:,"Cornelius Lysaght is our horse racing expert, well known as a correspondent on Radio 5 live.",2,5,13,12,9,1.0433825982799163,0.0,0.8063415288925171,-0.020653724670410156
xsum__validation__17360501__reference__0,"We were always told to not play with our food, but these two brothers from China clearly never listened!",13 March 2012 Last updated at 18:31 GMT,0,1,3,5,4,1.0,0.0,0.7585855722427368,-1.3504867553710938
